iter	Passed	Remaining
1356	7912	21241
1357	7917	21232
1358	7921	21224
1359	7926	21216
1360	7931	21207
1361	7936	21198
1362	7941	21190
1363	7946	21182
1364	7951	21174
1365	7955	21165
1366	7960	21157
1367	7966	21149
1368	7970	21141
1369	7975	21132
1370	7980	21124
1371	7985	21116
1372	7990	21108
1373	7995	21099
1374	8000	21090
1375	8005	21083
1376	8010	21075
1377	8015	21067
1378	8020	21059
1379	8025	21051
1380	8030	21043
1381	8034	21035
1382	8039	21026
1383	8044	21018
1384	8049	21010
1385	8054	21001
